"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"R1b",43.6435298714684,0.601001042672533,30.8414115241197,2.07670118901245,18.9989783142838,37.9703046069467,62.1853398255597,115.361239728116,2608,1.00016671102548,1,4.55235891506676,37.9703046069467,103.579708433983,0.507598896653338,0.711004657426111,0.856686209090419,0.655379597410743,1.71680109936187,0.425018989984609,1788,1086
"R2b",26372.1950176059,234.191262595318,10123.1010910701,6614.91546448619,19573.3502220382,26399.2246324919,33410.0988889848,45716.1575049646,1837,1.0030600088592,1,9481.3688906422,26399.2246324919,42784.9813719386,908.7046620618,340.462108272,236.222661857997,211.36400225211,316.811451357258,165.624086517025,1818,1064
"f",0.0173769580023146,0.000285269914371252,0.0109523961530923,0.00178107534903758,0.0112059794474057,0.0165791873039262,0.0222699015893958,0.0375515365433287,1480,1.00388644124505,1,0.00320044158424525,0.0165791873039262,0.0325162149740117,0.000333696601130898,0.000271624632656407,0.000213655722966914,0.000178425315052225,0.00126493544387486,0.000204988960416883,1372,876
"k",284.614144854357,0.173312139982652,10.0576409723662,265.106799818592,277.856204959103,284.519501955793,291.551036158142,303.876437881361,3347,1.00022816229571,1,268.156384712041,284.519501955793,301.049749040369,0.392230553825954,0.266332874390429,0.200476245536009,0.2602303384609,0.527272275463787,0.122560804758951,3366,2589
