lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,R2b_std,R1b_std,k_std,f_std,sigma_std,R2b,R1b,k,f,sigma,Z_tilde.1,Z_tilde.2,Z_tilde.3,Z_tilde.4,Z_tilde.5,Z_tilde.6,Z_tilde.7,Z_tilde.8,Z_tilde.9,Z_tilde.10,Z_tilde.11,Z_tilde.12,Z_tilde.13,Z_tilde.14,Z_tilde.15,Z_tilde.16,Z_tilde.17,Z_tilde.18,Z_tilde.19,Z_tilde.20,Z_tilde.21,Z_tilde.22,Z_tilde.23,Z_tilde.24,Z_tilde.25,Z_tilde.26,Z_tilde.27,Z_tilde.28,Z_tilde.29,Z_tilde.30,Z_tilde.31,Z_tilde.32,Z_tilde.33,Z_tilde.34,Z_tilde.35,Z_tilde.36,Z_tilde.37,Z_tilde.38,Z_tilde.39,Z_tilde.40,Z_tilde.41,Z_tilde.42,Z_tilde.43,Z_tilde.44,Z_tilde.45,Z_tilde.46,Z_tilde.47,Z_tilde.48,Z_tilde.49,Z_tilde.50,Z_tilde.51,Z_tilde.52,Z_rep.1,Z_rep.2,Z_rep.3,Z_rep.4,Z_rep.5,Z_rep.6,Z_rep.7,Z_rep.8,Z_rep.9,Z_rep.10,Z_rep.11,Z_rep.12,Z_rep.13,Z_rep.14,Z_rep.15,Z_rep.16,Z_rep.17,Z_rep.18,Z_rep.19,Z_rep.20,Z_rep.21,Z_rep.22,Z_rep.23,Z_rep.24,Z_rep.25,Z_rep.26,Z_rep.27,Z_rep.28,Z_rep.29,Z_rep.30,Z_rep.31,Z_rep.32,Z_rep.33,Z_rep.34,Z_rep.35,Z_rep.36,Z_rep.37,Z_rep.38,Z_rep.39,Z_rep.40,Z_rep.41,Z_rep.42,Z_rep.43,Z_rep.44,Z_rep.45,Z_rep.46,Z_rep.47,Z_rep.48,Z_rep.49,Z_rep.50,Z_rep.51,Z_rep.52
# Adaptation terminated
# Step size = 0.292033
# Diagonal elements of inverse mass matrix:
# 1.21565, 0.66338, 1.7448, 1.83946, 0.0129309
158.226,0.967372,0.292033,2,7,0,-155.73,0.672848,1.76894,0.0649955,0.0295537,0.626317,30364.2,8.84471,156.5,0.0151478,0.0313158,0.997646,0.996503,0.994181,0.991957,0.98802,0.985524,0.982096,0.97719,0.969792,0.957839,0.93661,0.893463,0.853273,0.786535,0.668499,0.457496,0.16605,0.000325253,0.165872,0.456475,0.666334,0.783232,0.848822,0.887815,0.928273,0.946178,0.953784,0.955213,0.951566,0.94772,0.942301,0.935056,0.925718,0.914106,0.900354,0.885293,0.870877,0.860198,0.856446,0.858228,0.861036,0.872581,0.887914,0.903959,0.918779,0.931561,0.942197,0.950901,0.957986,0.978329,0.986909,0.991216,0.956056,0.996449,0.975899,0.951701,0.960494,0.936147,0.993276,0.959689,0.918008,0.962182,0.916629,0.889559,0.881409,0.787081,0.633527,0.41155,0.165302,0.0306913,0.169172,0.490258,0.633671,0.795834,0.813375,0.880866,0.931478,0.90084,0.997877,0.955446,0.953323,0.95036,0.908548,0.956721,0.938027,0.906747,0.910785,0.899634,0.846892,0.83362,0.86574,0.813753,0.815483,0.848455,0.828428,0.897034,0.947589,0.979449,0.928024,0.926818,0.950705,0.966239,0.975502,0.922799
157.771,0.962651,0.292033,3,11,0,-156.709,1.30662,1.13695,0.107662,0.00988463,0.565357,33533.1,5.68474,160.766,0.0150494,0.0282679,0.997549,0.996374,0.994001,0.991738,0.987748,0.985223,0.981762,0.976816,0.969368,0.957349,0.936029,0.892739,0.85244,0.785553,0.667318,0.456173,0.165272,0.00032358,0.165097,0.455098,0.664986,0.781958,0.84757,0.88654,0.92686,0.944534,0.951821,0.95284,0.948702,0.944604,0.938958,0.931563,0.922229,0.910889,0.897808,0.883887,0.870941,0.86159,0.858385,0.85996,0.862422,0.872632,0.88649,0.90139,0.915535,0.928044,0.938676,0.947533,0.954847,0.976372,0.985675,0.990386,0.979414,0.977409,0.976054,0.964748,0.992024,0.994496,0.992959,0.989181,0.990034,0.930964,0.989288,0.8972,0.945115,0.751959,0.676275,0.460949,0.128008,0.000914524,0.162818,0.531207,0.679181,0.775134,0.849076,0.877814,0.925895,0.93448,0.894259,0.99214,0.957635,0.953485,0.93215,0.933981,0.96767,0.866737,0.907026,0.897212,0.874475,0.800507,0.884292,0.868802,0.790994,0.875508,0.897592,0.934897,0.921441,0.934602,0.997621,0.909568,0.955226,0.966739,0.965545,0.965878
158.406,0.996604,0.292033,3,7,0,-157.225,0.4365,0.916195,0.16033,0.0173107,0.596353,29182.5,4.58097,166.033,0.0150866,0.0298176,0.997647,0.996503,0.994177,0.991948,0.988,0.985496,0.982056,0.977133,0.969708,0.957708,0.936396,0.893079,0.852734,0.785752,0.667342,0.455935,0.16502,0.000323076,0.164846,0.454903,0.665159,0.782435,0.848275,0.887429,0.928068,0.946059,0.953699,0.955111,0.951359,0.9474,0.941798,0.934264,0.924475,0.91218,0.897439,0.88107,0.865171,0.853236,0.848982,0.850953,0.854079,0.866887,0.883709,0.901071,0.916886,0.930359,0.941453,0.950453,0.957728,0.97837,0.986972,0.991268,0.971185,0.977515,0.995178,0.975653,0.985073,0.945931,0.974824,0.98167,0.975089,0.966554,0.885011,0.901418,0.869279,0.779608,0.581332,0.439124,0.146439,0.0207826,0.203245,0.479995,0.698844,0.775173,0.805549,0.901927,0.906525,0.983707,0.862727,0.977117,0.981269,0.981526,0.98456,0.941858,0.928162,0.89301,0.882614,0.90063,0.846756,0.881484,0.806673,0.876478,0.914885,0.845262,0.892475,0.898499,0.945757,0.909582,0.972342,0.967062,0.932485,0.990046,0.97207,0.998826
158.317,0.990599,0.292033,3,7,0,-156.496,0.122882,1.60694,0.315155,0.14455,0.644583,27614.4,8.03471,181.515,0.0157228,0.0322292,0.997677,0.996544,0.994236,0.992022,0.988097,0.985606,0.982183,0.977282,0.969888,0.957934,0.936695,0.893515,0.853285,0.786479,0.668328,0.457178,0.165814,0.000325456,0.165614,0.456077,0.666078,0.783122,0.848818,0.887887,0.928446,0.94641,0.954032,0.955394,0.951481,0.947345,0.941444,0.933413,0.922811,0.909218,0.892507,0.873394,0.854243,0.839446,0.83402,0.836433,0.840299,0.855978,0.876063,0.896174,0.913963,0.928732,0.940637,0.95013,0.957699,0.978686,0.987232,0.991461,0.987467,0.962672,0.980688,0.940116,0.964223,0.932129,0.973722,0.988385,0.960868,0.973061,0.927373,0.896713,0.876559,0.777464,0.720474,0.507932,0.162449,0.000392983,0.186367,0.454397,0.652502,0.772876,0.827446,0.886503,0.97424,0.98559,0.943806,0.993813,0.989126,0.942044,0.912152,0.951883,0.931848,0.917962,0.923656,0.927901,0.864542,0.807084,0.883261,0.895031,0.834265,0.898447,0.847586,0.877485,0.930829,0.897241,0.89537,0.916512,0.973839,0.934044,0.979953,0.97844
156.404,0.900076,0.292033,3,15,0,-154.731,0.859027,0.13469,0.0260535,0.0918828,0.54755,31295.1,0.673451,152.605,0.0154594,0.0273775,0.997548,0.996371,0.993992,0.991722,0.987718,0.985184,0.98171,0.976744,0.969265,0.957195,0.935782,0.892307,0.851839,0.784686,0.666037,0.454425,0.164093,0.000320759,0.163935,0.45338,0.663737,0.781125,0.847006,0.886147,0.926659,0.944429,0.951764,0.952792,0.948609,0.944452,0.938708,0.931157,0.921582,0.909885,0.896307,0.881754,0.868124,0.858216,0.854791,0.856447,0.859047,0.869815,0.884358,0.899895,0.914543,0.927414,0.938295,0.947315,0.954735,0.976422,0.985729,0.990429,0.964582,0.959913,0.976587,0.959701,0.963153,0.988727,0.972578,0.994897,0.961605,0.982685,0.916395,0.923887,0.880317,0.790041,0.654161,0.401553,0.120743,0.00421743,0.113635,0.487344,0.696492,0.751705,0.856568,0.884969,0.943617,0.90486,0.940508,0.961566,0.939656,0.937159,0.928748,0.924067,0.951926,0.870216,0.928105,0.904564,0.919303,0.841605,0.852433,0.840087,0.879792,0.899311,0.913805,0.869859,0.918552,0.962841,0.939956,0.952726,0.947945,0.989182,0.995828,0.983582
155.399,0.961437,0.292033,3,15,0,-153.486,0.851045,0.0623441,0.0460631,0.410965,0.671086,31255.2,0.31172,154.606,0.0170548,0.0335543,0.997462,0.996257,0.993834,0.991533,0.987487,0.984932,0.981435,0.976443,0.968935,0.956832,0.935386,0.891879,0.851402,0.784247,0.665616,0.454057,0.163898,0.00032079,0.163723,0.452898,0.66307,0.780309,0.846059,0.885073,0.92531,0.942736,0.949614,0.950005,0.944906,0.940142,0.93366,0.925213,0.914561,0.901597,0.886588,0.870534,0.855519,0.844605,0.840807,0.842595,0.845428,0.857194,0.873118,0.890152,0.906229,0.920367,0.932324,0.94224,0.950398,0.974237,0.984453,0.989601,0.954138,0.9858,0.997655,0.979785,0.953264,0.999539,0.976543,0.971012,0.973159,0.990655,0.962285,0.929755,0.868432,0.827335,0.682487,0.417918,0.180184,0.0723147,0.168419,0.482208,0.661729,0.789218,0.825737,0.894091,0.98094,0.872892,0.914445,0.949549,0.980547,0.975001,0.910273,0.946299,0.916231,0.941401,0.939688,0.84393,0.885679,0.829124,0.850253,0.808914,0.817316,0.841064,0.898945,0.936443,0.907565,0.896782,0.914139,0.934876,0.972255,0.950715,0.984191,0.988782
155.97,0.954332,0.292033,3,15,0,-152.609,1.13552,0.0920205,0.281607,0.0681774,0.71561,32677.6,0.460103,178.161,0.0153409,0.0357805,0.997514,0.996325,0.993927,0.991644,0.987621,0.985078,0.981591,0.976612,0.969116,0.957024,0.935581,0.89206,0.85156,0.784363,0.665663,0.454045,0.163908,0.000320935,0.16373,0.452904,0.663196,0.78058,0.846453,0.885573,0.926005,0.94364,0.950771,0.951491,0.946828,0.942331,0.936151,0.928036,0.917733,0.905109,0.890385,0.874515,0.859559,0.848621,0.844803,0.846606,0.849456,0.861259,0.877132,0.89399,0.909787,0.923589,0.9352,0.944785,0.952643,0.975469,0.985196,0.990091,0.996225,0.978978,0.944171,0.994355,0.937785,0.960204,0.989216,0.908625,0.902197,0.964494,0.906418,0.969756,0.832563,0.8066,0.644213,0.458111,0.142804,0.0486975,0.15929,0.389113,0.705705,0.746649,0.806705,0.835227,0.928941,0.921629,0.98219,0.952551,0.933313,0.937456,0.922303,0.917518,0.970054,0.928194,0.915174,0.891561,0.882494,0.849913,0.886936,0.872139,0.850622,0.89048,0.850089,0.893368,0.943098,0.903815,0.8702,0.873694,0.992639,0.910956,0.964934,0.992926
155.028,0.98752,0.292033,2,3,0,-152.232,0.491116,0.111807,0.14707,0.526539,0.682134,29455.6,0.559034,164.707,0.0176327,0.0341067,0.997486,0.996289,0.993878,0.991586,0.987551,0.985003,0.981511,0.976526,0.969026,0.956931,0.935492,0.89199,0.851511,0.784348,0.665693,0.454089,0.163894,0.000321182,0.163704,0.452884,0.663103,0.780388,0.846173,0.885214,0.925492,0.942943,0.949818,0.950148,0.944843,0.939866,0.933039,0.924046,0.912546,0.898304,0.881469,0.863037,0.845381,0.83227,0.827599,0.829713,0.833097,0.847068,0.865639,0.885059,0.902968,0.918389,0.931197,0.941661,0.950164,0.974492,0.98469,0.989783,0.984,0.995849,0.941069,0.978278,0.957608,0.946904,0.968743,0.950998,0.961791,0.93985,0.944572,0.907211,0.924574,0.765168,0.6629,0.446019,0.153094,0.0169222,0.148882,0.457288,0.668265,0.719131,0.811523,0.91324,0.924425,0.936372,0.881995,0.972579,0.959283,0.960909,0.917726,0.950184,0.926636,0.880178,0.885309,0.861543,0.837509,0.846174,0.865028,0.788254,0.847963,0.811907,0.875611,0.910835,0.917811,0.915161,0.911425,0.966043,0.987513,0.932214,0.91671,0.955305
158.277,1,0.292033,4,15,0,-153.632,1.26423,1.26632,0.237558,0.0253424,0.681985,33321.1,6.33158,173.756,0.0151267,0.0340993,0.997552,0.996378,0.994006,0.991744,0.987756,0.985233,0.981773,0.976829,0.969384,0.957369,0.936056,0.89278,0.852493,0.785624,0.667418,0.456309,0.16537,0.000324135,0.165183,0.45519,0.665026,0.781964,0.847557,0.886513,0.926808,0.944448,0.95168,0.9526,0.94827,0.944011,0.938135,0.930408,0.920596,0.908586,0.8946,0.879559,0.865417,0.8551,0.851517,0.853233,0.855935,0.867115,0.882171,0.898196,0.913248,0.926429,0.93754,0.946729,0.954273,0.976248,0.985643,0.990379,0.983289,0.965154,0.969386,0.973792,0.95216,0.974631,0.966517,0.947076,0.94382,0.866644,0.971055,0.891415,0.876503,0.75024,0.62156,0.407725,0.184142,0.0353305,0.19252,0.389418,0.638283,0.709604,0.821267,0.892031,0.986884,0.948428,0.941018,0.935119,0.892452,0.932284,0.91767,0.976073,0.921226,0.919827,0.876553,0.895263,0.92095,0.856395,0.927017,0.820313,0.869313,0.894365,0.892582,0.876912,0.919527,0.925155,0.915183,0.961542,0.990481,0.962068,0.981378,0.981162
157.692,0.960136,0.292033,4,15,0,-155.12,0.64097,0.25984,0.116802,0.144119,0.693096,30204.9,1.2992,161.68,0.0157206,0.0346548,0.997567,0.996397,0.994027,0.991765,0.987771,0.985242,0.981773,0.976815,0.969344,0.957285,0.935886,0.892431,0.851978,0.784842,0.666215,0.454615,0.164204,0.00032129,0.164035,0.453539,0.663888,0.781272,0.847156,0.886304,0.926833,0.944618,0.951957,0.952955,0.948653,0.944367,0.938411,0.930518,0.920406,0.907895,0.893148,0.877071,0.861746,0.850428,0.846444,0.848308,0.851262,0.863445,0.879688,0.896753,0.912574,0.926262,0.937681,0.947044,0.954677,0.976641,0.985917,0.990569,0.98121,0.964695,0.950148,0.954208,0.981704,0.998765,0.984144,0.934347,0.994858,0.94126,0.963968,0.856028,0.836872,0.732504,0.678113,0.469989,0.177737,0.0185421,0.177643,0.394779,0.674479,0.759822,0.828665,0.906902,0.904951,0.931473,0.900319,0.987369,0.970314,0.981301,0.921531,0.903505,0.925681,0.903805,0.913855,0.877068,0.828146,0.945545,0.830026,0.868321,0.761184,0.862208,0.843812,0.894211,0.919625,0.942316,0.963098,0.970494,0.991192,0.959658,0.932615,0.977671
