lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,R2b_std,R1b_std,k_std,f_std,sigma_std,R2b,R1b,k,f,sigma,Z_tilde.1,Z_tilde.2,Z_tilde.3,Z_tilde.4,Z_tilde.5,Z_tilde.6,Z_tilde.7,Z_tilde.8,Z_tilde.9,Z_tilde.10,Z_tilde.11,Z_tilde.12,Z_tilde.13,Z_tilde.14,Z_tilde.15,Z_tilde.16,Z_tilde.17,Z_tilde.18,Z_tilde.19,Z_tilde.20,Z_tilde.21,Z_tilde.22,Z_tilde.23,Z_tilde.24,Z_tilde.25,Z_tilde.26,Z_tilde.27,Z_tilde.28,Z_tilde.29,Z_tilde.30,Z_tilde.31,Z_tilde.32,Z_tilde.33,Z_tilde.34,Z_tilde.35,Z_tilde.36,Z_tilde.37,Z_tilde.38,Z_tilde.39,Z_tilde.40,Z_tilde.41,Z_tilde.42,Z_tilde.43,Z_tilde.44,Z_tilde.45,Z_tilde.46,Z_tilde.47,Z_tilde.48,Z_tilde.49,Z_tilde.50,Z_tilde.51,Z_tilde.52,Z_rep.1,Z_rep.2,Z_rep.3,Z_rep.4,Z_rep.5,Z_rep.6,Z_rep.7,Z_rep.8,Z_rep.9,Z_rep.10,Z_rep.11,Z_rep.12,Z_rep.13,Z_rep.14,Z_rep.15,Z_rep.16,Z_rep.17,Z_rep.18,Z_rep.19,Z_rep.20,Z_rep.21,Z_rep.22,Z_rep.23,Z_rep.24,Z_rep.25,Z_rep.26,Z_rep.27,Z_rep.28,Z_rep.29,Z_rep.30,Z_rep.31,Z_rep.32,Z_rep.33,Z_rep.34,Z_rep.35,Z_rep.36,Z_rep.37,Z_rep.38,Z_rep.39,Z_rep.40,Z_rep.41,Z_rep.42,Z_rep.43,Z_rep.44,Z_rep.45,Z_rep.46,Z_rep.47,Z_rep.48,Z_rep.49,Z_rep.50,Z_rep.51,Z_rep.52
# Adaptation terminated
# Step size = 0.387083
# Diagonal elements of inverse mass matrix:
# 1.15384, 0.862012, 1.08662, 1.74525, 0.0120339
158.782,1,0.387083,3,7,0,-156.786,0.354956,0.551972,0.0631904,0.259233,0.592936,28774.8,2.75986,156.319,0.0162962,0.0296468,0.99759,0.996427,0.99407,0.991819,0.98784,0.98532,0.981862,0.976917,0.969465,0.957433,0.936077,0.892698,0.852308,0.785266,0.666773,0.455286,0.164607,0.000322218,0.164433,0.454212,0.66447,0.781746,0.847562,0.886672,0.927179,0.94498,0.952355,0.9534,0.949132,0.944843,0.938852,0.930869,0.920576,0.907743,0.892476,0.87566,0.859462,0.847384,0.843092,0.845071,0.848218,0.861161,0.878278,0.896082,0.912422,0.926433,0.938032,0.947482,0.955147,0.977012,0.986165,0.990741,0.997216,0.985954,0.971502,0.975826,0.94067,0.962838,0.987322,0.979629,0.982866,0.948912,0.931942,0.941081,0.899046,0.821585,0.608169,0.453357,0.157218,0.0315472,0.148373,0.406059,0.701283,0.789179,0.801959,0.872058,0.876768,0.976271,0.977906,0.971877,0.953403,0.908138,0.967263,0.873115,0.886718,0.934984,0.886184,0.851644,0.832194,0.878477,0.837856,0.812595,0.839367,0.88839,0.860784,0.878959,0.907464,0.933289,0.968967,0.927671,0.943279,0.939296,0.921484,0.976077
158.012,0.965784,0.387083,3,7,0,-155.86,0.584686,1.14954,0.0139898,0.298995,0.659791,29923.4,5.7477,151.399,0.016495,0.0329895,0.997572,0.996405,0.994044,0.991791,0.987814,0.985296,0.981843,0.976907,0.969473,0.957471,0.936175,0.892925,0.852656,0.785808,0.667617,0.456466,0.1654,0.000323988,0.16522,0.45538,0.665283,0.782231,0.847825,0.886785,0.9271,0.944773,0.952045,0.952998,0.948666,0.944372,0.938414,0.930529,0.920441,0.907977,0.893308,0.877342,0.862148,0.850942,0.847001,0.848847,0.851771,0.863837,0.879943,0.896891,0.912628,0.926263,0.937651,0.946997,0.954623,0.976597,0.985888,0.990551,0.934723,0.948314,0.963071,0.977995,0.98051,0.971923,0.977637,0.991561,0.980778,0.979175,0.960931,0.88174,0.870892,0.767794,0.625294,0.434994,0.246798,0.0343067,0.208138,0.436705,0.680354,0.798289,0.860428,0.901397,0.873132,0.877982,0.92649,0.918445,0.902944,0.906699,0.931162,0.969461,0.931882,0.876541,0.907598,0.913395,0.879496,0.807614,0.878657,0.860399,0.818051,0.830515,0.911929,0.925803,0.860742,0.95578,0.896789,0.930686,0.942842,0.98557,0.984648,0.988708
155.676,0.807455,0.387083,3,7,0,-153.292,0.237127,3.42681,0.0214817,0.316759,0.602877,28185.6,17.134,152.148,0.0165838,0.0301439,0.997693,0.996568,0.99428,0.992085,0.988195,0.985726,0.982335,0.977479,0.970154,0.958312,0.937272,0.894486,0.85461,0.788355,0.671043,0.460766,0.168149,0.000330363,0.167942,0.459706,0.668871,0.78509,0.850242,0.888964,0.929149,0.946953,0.954535,0.955964,0.952271,0.948344,0.942761,0.935213,0.925342,0.912843,0.897716,0.880731,0.864042,0.85138,0.846819,0.848902,0.852217,0.865745,0.88335,0.901318,0.917508,0.931169,0.942328,0.951325,0.958559,0.97891,0.987319,0.991505,0.95868,0.953718,0.961914,0.988966,0.965421,0.957908,0.989466,0.981527,0.998003,0.892798,0.905122,0.942479,0.874919,0.767172,0.696728,0.466682,0.174965,0.0122915,0.194561,0.435745,0.646738,0.781241,0.821215,0.889347,0.88926,0.953689,0.914965,0.985648,0.995075,0.969427,0.950889,0.937038,0.964336,0.895229,0.944604,0.912026,0.817879,0.816931,0.85898,0.875564,0.846894,0.869456,0.926917,0.914029,0.898641,0.964459,0.912768,0.966076,0.939305,0.953945,0.991777,0.986341
156.723,0.73129,0.387083,4,15,0,-152.482,1.04448,0.0618189,0.0892423,0.0902894,0.569994,32222.4,0.309094,158.924,0.0154514,0.0284997,0.99752,0.996334,0.993941,0.99166,0.987641,0.9851,0.981617,0.976641,0.96915,0.957064,0.935632,0.892129,0.851642,0.784465,0.665789,0.454174,0.163962,0.000320623,0.163799,0.453095,0.663415,0.780791,0.846657,0.885777,0.926229,0.943912,0.951128,0.951995,0.947592,0.9433,0.937401,0.929679,0.919921,0.908044,0.894307,0.879639,0.86595,0.85603,0.852607,0.854261,0.85686,0.86764,0.882241,0.897892,0.912699,0.925751,0.936814,0.946006,0.953581,0.975789,0.985346,0.990176,0.981699,0.966784,0.997654,0.976551,0.988904,0.934504,0.97415,0.934014,0.976485,0.940691,0.942678,0.864255,0.910529,0.767357,0.658293,0.478722,0.161846,0.00946683,0.189688,0.456066,0.644288,0.813595,0.800712,0.880093,0.952612,0.996701,0.988799,0.901472,0.986919,0.974129,0.959957,0.895129,0.926908,0.911447,0.927939,0.897664,0.89364,0.843819,0.850531,0.863526,0.85297,0.898743,0.941412,0.887883,0.882403,0.912189,0.935907,0.972915,0.932221,0.967865,0.948315,0.949769
158.134,0.988299,0.387083,3,7,0,-155.37,0.567845,0.179536,0.131089,0.13921,0.622932,29839.2,0.897678,163.109,0.0156961,0.0311466,0.997575,0.996407,0.994041,0.991781,0.987789,0.985261,0.981793,0.976835,0.969364,0.957302,0.935897,0.892424,0.851954,0.78479,0.666116,0.454461,0.164096,0.000321064,0.163927,0.453387,0.663799,0.78124,0.847164,0.886341,0.926912,0.944731,0.952102,0.953132,0.948857,0.944577,0.938614,0.930693,0.920518,0.907888,0.892946,0.876588,0.860929,0.849319,0.845217,0.847127,0.850155,0.862631,0.87921,0.896558,0.912575,0.926383,0.937867,0.947258,0.954898,0.976807,0.986026,0.990644,0.973603,0.986892,0.98731,0.975669,0.961349,0.950656,0.943931,0.949096,0.984985,0.959928,0.936989,0.918029,0.823427,0.813086,0.652423,0.3878,0.164288,0.0614391,0.137763,0.453812,0.716585,0.774433,0.832525,0.904093,0.924141,0.957642,0.95776,0.971416,0.928784,0.929609,0.919669,0.930702,0.932612,0.876673,0.90611,0.916185,0.859221,0.8716,0.875825,0.850076,0.868685,0.835271,0.838162,0.886422,0.896635,0.937717,0.994197,0.9401,0.926352,0.971693,0.997788,0.96962
159.065,0.74784,0.387083,3,7,0,-153.081,1.19802,1.803,0.106321,0.0370961,0.572856,32990.1,9.01501,160.632,0.0151855,0.0286428,0.997579,0.996415,0.99406,0.991813,0.987845,0.985334,0.981889,0.976965,0.969547,0.957573,0.936324,0.893168,0.852983,0.786268,0.668289,0.457397,0.166053,0.000325405,0.165869,0.456323,0.665987,0.782738,0.848214,0.887106,0.927369,0.945056,0.952399,0.953505,0.949476,0.945432,0.93983,0.932454,0.923093,0.91165,0.898357,0.884101,0.870741,0.861026,0.857672,0.859303,0.861858,0.872434,0.886705,0.90194,0.916297,0.928906,0.939563,0.948396,0.955661,0.976896,0.986009,0.990613,0.970536,0.992793,0.986745,0.990281,0.979079,0.995054,0.988522,0.942556,0.940804,0.986578,0.905796,0.838004,0.847898,0.757485,0.675669,0.440362,0.190406,0.0253867,0.184036,0.441748,0.682164,0.837476,0.835859,0.891512,0.921755,0.95319,0.928334,0.952769,0.89999,0.873145,0.874718,0.940603,0.888055,0.898026,0.875874,0.913414,0.908686,0.887235,0.872598,0.917806,0.917046,0.887565,0.839078,0.898306,0.912962,0.935298,0.86785,0.92002,0.966631,0.99325,0.974935,0.978857
159.123,0.991741,0.387083,3,7,0,-158.18,0.780264,1.35911,0.35631,0.278267,0.576379,30901.3,6.79554,185.631,0.0163913,0.028819,0.99755,0.996376,0.994004,0.991742,0.987755,0.985233,0.981774,0.976833,0.969392,0.957384,0.936084,0.892835,0.852572,0.785739,0.667583,0.456514,0.165491,0.000325072,0.165279,0.4553,0.665051,0.781919,0.84746,0.886373,0.926585,0.944118,0.951181,0.951808,0.946933,0.942227,0.935714,0.927069,0.915935,0.902043,0.885484,0.86719,0.849502,0.836262,0.831523,0.833669,0.837101,0.85121,0.869819,0.889103,0.906733,0.921799,0.934235,0.944342,0.952523,0.975775,0.985464,0.990294,0.976388,0.988362,0.949584,0.99136,0.948357,0.978276,0.916076,0.994317,0.97453,0.967928,0.918271,0.869837,0.839877,0.819932,0.673244,0.413521,0.178439,0.0350742,0.124845,0.400859,0.652955,0.739101,0.855991,0.854164,0.935692,0.978816,0.966821,0.982251,0.979409,0.912315,0.891515,0.933736,0.887026,0.864402,0.880109,0.818298,0.823719,0.81948,0.850515,0.858657,0.809835,0.830624,0.872879,0.857141,0.896925,0.865313,0.925809,0.941538,0.948823,0.949814,0.946542,0.967759
159.664,0.993834,0.387083,3,7,0,-158.09,1.3676,1.62462,0.080224,0.113488,0.559338,33838,8.12308,158.022,0.0155674,0.0279669,0.997532,0.996353,0.993975,0.99171,0.987719,0.985196,0.981738,0.976798,0.969362,0.957367,0.936092,0.892904,0.852701,0.785965,0.667967,0.45708,0.165878,0.000325055,0.165692,0.455974,0.665578,0.782285,0.847716,0.88656,0.926711,0.944257,0.951419,0.952294,0.947978,0.943773,0.938009,0.930485,0.921016,0.909545,0.896353,0.882354,0.869372,0.860018,0.856814,0.858387,0.860846,0.871057,0.884946,0.89992,0.914173,0.926809,0.937572,0.946554,0.953981,0.975894,0.985386,0.990196,0.976587,0.969239,0.998252,0.991352,0.956247,0.982581,0.989839,0.962204,0.942623,0.964264,0.93292,0.90344,0.870395,0.821112,0.686272,0.441936,0.156854,0.0303942,0.194944,0.477086,0.650424,0.722796,0.844005,0.923428,0.884124,0.948609,0.94258,0.928431,0.941082,0.960324,0.931599,0.928718,0.917512,0.934011,0.898403,0.897635,0.925059,0.891927,0.847262,0.900814,0.921292,0.835823,0.883418,0.924706,0.946932,0.937459,0.929461,0.936457,0.941329,0.993787,0.976275,0.994521
158.05,0.920569,0.387083,2,3,0,-157.546,0.896032,1.53759,0.595149,0.181709,0.581615,31480.2,7.68796,209.515,0.0159085,0.0290807,0.997559,0.996388,0.994021,0.991764,0.987781,0.985261,0.981806,0.976867,0.96943,0.957427,0.936132,0.892888,0.852628,0.785798,0.667652,0.45661,0.165578,0.000325727,0.16535,0.455343,0.665057,0.781926,0.847477,0.886401,0.926633,0.944181,0.951251,0.951867,0.946935,0.942166,0.935545,0.926721,0.915298,0.900953,0.883719,0.864503,0.845746,0.831584,0.826475,0.828765,0.832434,0.847475,0.867162,0.887373,0.905683,0.921204,0.933929,0.944216,0.952505,0.975888,0.985558,0.990363,0.979651,0.997557,0.965589,0.970009,0.969227,0.973849,0.98512,0.942604,0.967315,0.967051,0.916769,0.923928,0.859045,0.75,0.680792,0.434137,0.157407,0.018678,0.182863,0.456529,0.65955,0.772633,0.834393,0.890481,0.91459,0.95015,0.955992,0.94004,0.979217,0.946118,0.969154,0.912445,0.965471,0.903032,0.89376,0.82619,0.814251,0.834018,0.846943,0.867529,0.841635,0.880955,0.865628,0.908896,0.899586,0.952689,0.950103,0.868369,0.953283,0.936498,0.997908,0.973688
156.522,0.9111,0.387083,4,15,0,-155.498,0.968833,1.06166,0.0397007,0.0235024,0.700292,31844.2,5.30832,153.97,0.0151175,0.0350146,0.997587,0.996424,0.994069,0.991819,0.987846,0.98533,0.981877,0.976941,0.969504,0.957495,0.936183,0.892895,0.852589,0.785681,0.667403,0.456175,0.165229,0.000323314,0.16506,0.455142,0.665162,0.782229,0.847913,0.886945,0.927381,0.945183,0.952626,0.95384,0.949941,0.945975,0.940461,0.933184,0.92393,0.9126,0.899416,0.885254,0.871962,0.862285,0.858944,0.86057,0.863118,0.873656,0.887861,0.903005,0.917255,0.929757,0.94031,0.94905,0.956232,0.977201,0.986191,0.990731,0.993583,0.956057,0.993591,0.998793,0.997196,0.931443,0.982773,0.984682,0.999329,0.956614,0.903725,0.909147,0.824216,0.729932,0.676578,0.50112,0.17798,0.019173,0.20098,0.452852,0.665487,0.790524,0.835052,0.83481,0.907944,0.922587,0.975312,0.974694,0.970308,0.947141,0.916879,0.947334,0.91046,0.901767,0.937957,0.93704,0.85182,0.848949,0.83707,0.904135,0.844058,0.919327,0.795454,0.800725,0.922396,0.921635,0.946192,0.978383,0.952565,0.956431,0.96498,0.990025
