"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"R2b",27057.8958418471,35.3629132686493,1974.46426171395,23313.9877257214,25725.959421337,26995.3105425791,28371.4033312294,30983.9448769276,3103,1.00064617460023,1,23905.265467008,26995.3105425791,30392.4794154261,119.546008417597,50.3534191200306,43.1714802292172,48.8759534988985,98.2495351397029,25.0076956129001,3094,2451
"f",0.0225711195943073,0.000214980073599308,0.00938013218222397,0.0050386536213424,0.0160239740651749,0.0222694385900491,0.0289239018662263,0.0413029274576763,1881,1.00269156735518,1,0.00684367014703385,0.0222694385900491,0.0384078689220024,0.000365533599398263,0.000335220197481754,0.00021484195845901,0.000232714641164474,0.000355207533315183,0.000152037162809687,1801,1163
"k",285.110534848394,0.183269577795745,10.0733549894504,264.541285507202,278.262546055488,285.181500930936,291.908201736021,304.42578489594,3015,1.00100501552992,1,268.580822651015,285.181500930936,301.492725083843,0.530325998010966,0.259202977849895,0.254565888059119,0.279555142380104,0.437891896963777,0.129603674368414,3027,2658
