ppm,LP30 298K,,,,,,,,,LP30 310K,,,,,,,,,LP30 323K,,,,,,,
,500Hz,,1000Hz,,1500Hz,,2000Hz,,,500Hz,,1000,,1500,,2000,,,500,,1000,,1500,,2000,
,exp,fit,exp,fit,exp,fit,exp,fit,Divided by Max of J,exp,fit,exp,fit,exp,fit,exp,fit,,exp,fit,,fit,,fit,,fit
500,1,1,1,1,1,1,1,1,--,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
-30,0.350972545,0.368049928,0.087266965,0.118627228,0.043625073,0.056811543,0.009736681,0.033669371,--,0.519539073,0.5444794,0.213355571,0.211360256,0.10770507,0.105000937,0.064413051,0.062590778,,0.637596386,0.68290106,0.349053039,0.32748675,0.199700168,0.173618679,0.120748971,0.106187181
-40,0.498057992,0.53123506,0.164851503,0.201903269,0.097952308,0.100338043,0.028770141,0.060335503,--,0.638242617,0.69641166,0.31611856,0.339267364,0.18460062,0.180335569,0.115792674,0.110531262,,0.749565583,0.800623524,0.494636254,0.481436105,0.306436267,0.28332897,0.189292359,0.181432158
-50,0.630700694,0.652044109,0.265159001,0.29357985,0.151222426,0.152527952,0.064872288,0.093367603,--,0.748700285,0.787482227,0.423164465,0.458220806,0.274671154,0.263547823,0.162672304,0.166919822,,0.816765705,0.862233795,0.564971304,0.59766536,0.392781822,0.388697521,0.28149668,0.262063419
-60,0.732886867,0.736309737,0.36056604,0.384949733,0.210098844,0.210719443,0.107138107,0.131666323,--,0.8149658,0.84317767,0.532401042,0.556722154,0.34770877,0.347098804,0.234691323,0.228202094,,0.857177912,0.896899013,0.653958335,0.678872947,0.470869833,0.478965161,0.349635328,0.340327556
-80,0.797947941,0.836263598,0.53249048,0.542702183,0.35489804,0.334192988,0.192620643,0.219327283,--,0.888515342,0.901953455,0.653653968,0.69173512,0.501011305,0.493496615,0.361145492,0.352192569,,0.899657781,0.93026416,0.758483434,0.772042853,0.591697029,0.606289097,0.478121098,0.471218207
-100,0.831142432,0.887860912,0.646588344,0.656319704,0.480357556,0.450678924,0.291791169,0.313710772,--,0.902334949,0.928383009,0.749149677,0.767984488,0.60114398,0.599853433,0.463592827,0.46151835,,0.950802798,0.942672799,0.803956449,0.814151059,0.664297714,0.677987719,0.545551911,0.560907692
-120,0.915435972,0.916104414,0.701861385,0.733034852,0.563506957,0.548451036,0.406361607,0.405733813,--,0.911472146,0.94001648,0.825584453,0.809507341,0.687892014,0.670662736,0.540589668,0.54762361,,0.9621648,0.945391442,0.83449978,0.830104046,0.694312423,0.714876661,0.617577707,0.616978728
-140,0.911641353,0.931542374,0.765906503,0.783693947,0.657877597,0.625275255,0.487065809,0.488874634,--,0.908622833,0.942965223,0.820411624,0.829943731,0.736538147,0.715670022,0.610533656,0.611462429,,0.964164966,0.941934857,0.844968004,0.830737068,0.709403092,0.730675487,0.65929584,0.649942386
-160,0.911303534,0.938717257,0.805660301,0.816523332,0.729845883,0.683762492,0.554625306,0.560272172,--,0.906475197,0.93912285,0.827909358,0.836661508,0.754172674,0.743138761,0.662818749,0.657534361,,0.943612807,0.9332129,0.845190157,0.821294613,0.715336204,0.733703267,0.673041666,0.668070963
-170,0.936075376,0.939819769,0.809429767,0.828081282,0.732765218,0.707351105,0.583025221,0.591477013,--,0.916440536,0.934678058,0.83052027,0.836342508,0.756257104,0.752289556,0.670924071,0.675443643,,0.965325708,0.926873873,0.843791614,0.813868818,0.714688844,0.732215732,0.672216142,0.673493961
-180,0.937643983,0.939382027,0.812616618,0.837145856,0.740592321,0.727826639,0.607144658,0.61986275,--,0.903978629,0.928425794,0.846199612,0.834211801,0.800515921,0.759242965,0.661589911,0.690682665,,0.962174376,0.919194904,0.835144636,0.805171946,0.725168451,0.729487469,0.695004878,0.677284801
